zip_code,year,lat,lon,Earned_Premium,Earned_Exposure,Composite_Risk_Score,Actual_Premium_per_Exposure,Predicted_Premium_per_Exposure,Prediction_Error_$,Prediction_Error_%,Absolute_Error_$,Absolute_Error_%,Pricing_Category,Recommended_Rate_Change_%
95659,2021,38.839937394180446,-121.57134440210964,122658.0,85.0,0.3809430387816743,1443.035294117647,1224.6249,218.41041618795953,15.14,218.41041618795953,15.14,OVERPRICED,-15.1
96140,2021,39.22462969693336,-120.09804776572808,2033628.0,792.0,0.28818993988182423,2567.712121212121,2276.5671,291.144982540246,11.34,291.144982540246,11.34,OVERPRICED,-11.3
90007,2021,34.028126742918545,-118.28483003016127,477398.0,353.0,0.5331430877310068,1352.4022662889518,1318.8752,33.52702214832675,2.48,33.52702214832675,2.48,Adequate,-2.5
95955,2021,39.294141090073815,-122.20735340717268,125162.0,119.0,0.3987300234508425,1051.781512605042,973.20056,78.58095108160455,7.47,78.58095108160455,7.47,Adequate,-7.5
90303,2021,33.93804757322359,-118.33230992947964,1194247.0,1280.0,0.5472055270521254,933.00546875,862.1657,70.83975830078123,7.59,70.83975830078123,7.59,Adequate,-7.6
91307,2021,34.2016371763535,-118.6622137638432,7179019.0,3982.0,0.5077033568424314,1802.8676544450025,1438.0071,364.8605743668775,20.24,364.8605743668775,20.24,OVERPRICED,-20.2
90027,2021,34.125220422177826,-118.29056915287258,6283065.0,2276.0,0.39961682957345374,2760.573374340949,2563.8542,196.71912629407416,7.13,196.71912629407416,7.13,OVERPRICED,-7.1
96113,2021,40.1428635371909,-120.15844794607612,122265.0,93.0,0.6840520331643457,1314.6774193548388,1408.1542,-93.47675544984872,-7.11,93.47675544984872,7.11,Adequate,7.1
96137,2021,40.26881757350619,-121.02973017631255,3152196.0,1707.0,0.30380308231814923,1846.6291739894552,1597.5201,249.10903238789274,13.49,249.10903238789274,13.49,OVERPRICED,-13.5
90001,2021,33.97402698761776,-118.24950970613176,1076066.0,1345.0,0.625346139644083,800.0490706319703,788.08777,11.961302077282767,1.5,11.961302077282767,1.5,Adequate,-1.5
